Name,Fight Name,Age,Weight,Record,Reach,Leg Reach
Cynthia Calvillo,N/A,30,115 lb ( 52 kg ),6-1-0,"64""","37"""
Frank Camacho,The Crank,28,155 lb ( 70 kg ),21-6-0,"73""","38"""
Brian Camozzi,Mantis,26,170 lb ( 77 kg ),7-5-0,"78""","41"""
Chris Camozzi,N/A,31,185 lb ( 84 kg ),24-13-0,"76""","42"""
Carlos Candelario ,The Cannon,26,125 lb ( 56 kg ),7-0-0,"67""",N/A
Ronaldo Candido ,Pacman,28,125 lb ( 56 kg ),6-1-0,N/A,N/A
Guido Cannetti,Ninja,38,135 lb ( 61 kg ),7-3-0,"68""","38"""
Jared Cannonier,Tha Killa Gorilla,34,205 lb ( 93 kg ),10-3-0,"77""","41"""
Bryan Caraway,Kid Lightning,33,135 lb ( 61 kg ),21-9-0,"68""","39"""
Antonio Carlos Junior,Cara de Sapato,28,185 lb ( 84 kg ),"10-2-0, 1NC","79""","42"""
Liz Carmouche,Girlrilla,34,125 lb ( 56 kg ),10-6-0,"66""","37"""
Johnny Case,Hollywood,28,155 lb ( 70 kg ),22-6-0,"72""","42"""
Cortney Casey,Cast Iron,30,115 lb ( 52 kg ),7-5-0,"67""",N/A
John Castaneda ,Sexi Mexi ,26,135 lb ( 61 kg ),14-2-0,"70""",N/A
Magnus Cedenblad,Jycken,36,185 lb ( 84 kg ),14-5-0,"79""","48"""
Henry Cejudo,The Messenger,31,125 lb ( 56 kg ),12-2-0,"64""","37"""
Donald Cerrone,Cowboy,35,170 lb ( 77 kg ),"33-10-0, 1NC","73""","40"""
Luan Chagas,Tarzan,24,170 lb ( 77 kg ),15-2-1,"75""","41"""
Alex Chambers,Astro Girl,39,115 lb ( 52 kg ),5-4-0,"63""","36"""
Gabriel Checco,Zangief ,32,185 lb ( 84 kg ),10-2-0,N/A,N/A
Mark Cherico,The Pride of Bloomfield,31,145 lb ( 65 kg ),11-2-0,"69""",N/A
Michael Chiesa,Maverick,30,155 lb ( 70 kg ),14-3-0,"75""","43"""
Dooho Choi,The Korean Superboy,27,145 lb ( 65 kg ),14-2-0,"70""","39"""
Katlyn Chookagian,Blonde Fighter,29,125 lb ( 56 kg ),10-1-0,"68""","42"""
Joachim Christensen,N/A,39,205 lb ( 93 kg ),14-6-0,"76""","43"""
Misha Cirkunov,N/A,31,205 lb ( 93 kg ),13-4-0,"77""","43"""
Devin Clark,Brown Bear,28,205 lb ( 93 kg ),9-2-0,"75""","41"""
Heather Jo Clark,Hurricane,37,115 lb ( 52 kg ),7-6-0,"64""","38"""
Jessica-Rose Clark,N/A,30,125 lb ( 56 kg ),"8-4-0, 1NC","64""","39"""
Mitch Clarke,Danger Zone,32,155 lb ( 70 kg ),11-5-0,"73""","40"""
Jamie Colleen,N/A,32,115 lb ( 52 kg ),4-1-0,"65""",N/A
Jake Collier,The Prototype,29,205 lb ( 93 kg ),11-4-0,"78""","43"""
Christian Colombo,Godzilla,37,265 lb ( 120 kg ),8-3-1,"80""","48"""
Carlos Condit,The Natural Born Killer,33,170 lb ( 77 kg ),30-12-0,"75""","44"""
Amanda Cooper,ABC,26,115 lb ( 52 kg ),4-3-0,"64""","36"""
Michael Cora,N/A,28,170 lb ( 77 kg ),4-2-0,"77""","41"""
Daniel Cormier,DC,39,205 lb ( 93 kg ),"20-1-0, 1NC","72""","41"""
Bethe Correia,Pitbull,34,135 lb ( 61 kg ),10-3-1,"64""","36"""
Paulo Costa,The Eraser,26,185 lb ( 84 kg ),11-0-0,"72""","39"""
Rashad Coulter,Daywalker,36,245 lb ( 111 kg ),8-3-0,"79""",N/A
Colby Covington,Chaos,30,170 lb ( 77 kg ),13-1-0,"72""","41"""
Nathan Coy,Soulforce,39,170 lb ( 77 kg ),15-7-0,"69""","39"""
Paul Craig,BearJew,30,205 lb ( 93 kg ),9-2-0,"76""","43"""
