Name,Fight Name,Age,Weight,Record,Reach,Leg Reach
Gavin Tucker,The Newfoundland Terror,31,145 lb ( 65 kg ),10-1-0,N/A,N/A
Tai Tuivasa,Bam Bam,25,265 lb ( 120 kg ),9-0-0,"75""","39"""
Zubaira Tukhugov,Warrior,27,145 lb ( 65 kg ),18-4-0,"68""","38"""
Ricky Turcios,N/A,24,135 lb ( 61 kg ),8-0-0,"71""","39"""
Marcin Tybura,Tybur,32,249 lb ( 113 kg ),16-4-0,"78""","46"""
Alberto Uda,N/A,33,185 lb ( 84 kg ),9-2-0,"77""","45"""
Elias Urbina,N/A,24,185 lb ( 84 kg ),3-1-0,N/A,N/A
Nick Urso,N/A,32,125 lb ( 56 kg ),"10-4-0, 1NC","66""",N/A
Kamaru Usman,Nigerian Nightmare,30,170 lb ( 77 kg ),11-1-0,"76""","41"""
Lando Vannata,Groovy,26,155 lb ( 70 kg ),9-2-1,"71""","39"""
Paige VanZant,12 Gauge,24,125 lb ( 56 kg ),7-4-0,"65""","37"""
Manny Vazquez,N/A,N/A,125 lb ( 56 kg ),11-2-0,"72""","39"""
Kelly Velasco,Killer,22,135 lb ( 61 kg ),2-2-0,N/A,N/A
Cain Velasquez,N/A,35,240 lb ( 109 kg ),14-2-0,"77""","41"""
Bojan Velickovic,Serbian Steel,29,170 lb ( 77 kg ),15-6-1,"76""","41"""
Marlon Vera,Chito,25,135 lb ( 61 kg ),10-5-1,"70""","40"""
Marvin Vettori,The Italian Dream,24,185 lb ( 84 kg ),12-4-1,"74""","41"""
Polyana Viana,Dama de Ferro,25,115 lb ( 52 kg ),10-1-0,"67""","38"""
James Vick,The Texecutioner,31,155 lb ( 70 kg ),13-1-0,"76""","43"""
Ketlen Vieira,Fenomeno,26,135 lb ( 61 kg ),10-0-0,N/A,N/A
Gian Villante,N/A,32,205 lb ( 93 kg ),16-9-0,"76""","43"""
Alexander Volkanovski,The Great,29,145 lb ( 65 kg ),17-1-0,"71""","36"""
Alexander Volkov,Drago,29,250 lb ( 113 kg ),29-6-0,"80""","47"""
Chase Waldon,N/A,31,185 lb ( 84 kg ),11-3-0,"75""","41"""
Randall Wallace,Braveheart,29,185 lb ( 84 kg ),15-7-0,"73""","74"""
Jimmy Wallhead,Judo,34,170 lb ( 77 kg ),29-11-0,"73""","40"""
Charlie Ward,Relentless,37,170 lb ( 77 kg ),3-3-0,"73""","42"""
Terrion Ware,Flash,32,135 lb ( 61 kg ),17-7-0,"71""","39"""
Michelle Waterson,The Karate Hottie,32,115 lb ( 52 kg ),15-6-0,"62""","35"""
Chris Weidman,The All-American,33,185 lb ( 84 kg ),14-3-0,"78""","42"""
Fabricio Werdum,Vai Cavalo,40,231 lb ( 104 kg ),23-7-1,"77""","45"""
Sheldon Westcott,N/A,33,170 lb ( 77 kg ),10-3-1,"71""","42"""
Alex White,The Spartan,29,155 lb ( 70 kg ),12-3-0,"71""","41"""
Emily Whitmire,Spitfire,26,125 lb ( 56 kg ),2-2-0,N/A,N/A
Robert Whittaker,The Reaper,27,185 lb ( 84 kg ),20-4-0,"73""","43"""
Adam Wieczorek,Siwy,26,250 lb ( 113 kg ),10-1-0,"81""","46"""
Rob Wilkinson,Razor,26,185 lb ( 84 kg ),11-2-0,"80""","45"""
Patrick Williams,The Animal,36,135 lb ( 61 kg ),8-7-0,"73""","79"""
Tim Williams,N/A,31,185 lb ( 84 kg ),15-4-0,"76""","42"""
Justin Willis,Big Pretty,30,264 lb ( 119 kg ),6-1-0,"78""","41"""
Jonathan Wilson,Jonny Bravo,30,185 lb ( 84 kg ),7-3-0,"75""","42"""
Matt Wiman,N/A,34,155 lb ( 70 kg ),16-7-0,"68""",N/A
Eddie Wineland,N/A,33,135 lb ( 61 kg ),23-12-1,"69""","36"""
Nathaniel Wood,N/A,N/A,135 lb ( 61 kg ),13-3-0,N/A,N/A
Tyron Woodley,The Chosen One,36,170 lb ( 77 kg ),18-3-1,"74""","42"""
Yan Xiaonan ,Nine,28,115 lb ( 52 kg ),"8-1-0, 1NC","63""","37"""
Song Yadong ,N/A,20,145 lb ( 65 kg ),"10-3-0, 2NC","67""","38"""
Rani Yahya,N/A,33,135 lb ( 61 kg ),"25-9-0, 1NC","67""","37"""
Alexander Yakovlev,Thunder Of The North,33,170 lb ( 77 kg ),23-8-1,"74""","42"""
Norifumi Yamamoto,Kid,41,135 lb ( 61 kg ),"18-6-0, 2NC","66""",N/A
Wu Yanan,Mulan,21,135 lb ( 61 kg ),9-2-0,"66""","39"""
Hu Yaozong,Bad Boy,23,242 lb ( 109 kg ),3-1-0,"72""","44"""
Ashley Yoder,SpiderMonkey,30,115 lb ( 52 kg ),5-4-0,"69""","37"""
Shane Young,Sugar,24,145 lb ( 65 kg ),11-4-0,"72""","39"""
Aiemann Zahabi,N/A,30,135 lb ( 61 kg ),7-1-0,"69""","38"""
Elizeu Zaleski dos Santos,Capoeira,31,170 lb ( 77 kg ),18-5-0,"73""","41"""
Tiequan Zhang,The Wolf,39,155 lb ( 70 kg ),18-4-0,N/A,N/A
Cat Zingano,Alpha,35,135 lb ( 61 kg ),9-3-0,"68""","38"""
